transaction_id,from_account,to_account,amount,timestamp,channel,device_id,ip_address,is_incoming,is_fraud,account_id,from_account_created_date,account_age_days,tx_hour,tx_dayofweek,is_new_beneficiary,prev_timestamp,last_tx_interval_seconds,rolling_tx_count_5,rolling_tx_sum_5,rolling_tx_mean_5,tx_count_last_1d
tx_2078,acc_77,merch_36,276.0,2025-06-01 08:27:00.000000,UPI,dev_77_0,64.200.244.208,0,0,acc_77,2025-09-07 17:56:55.392476,-99,8,6,1,0,-1.0,1.0,276.0,276.0,0
tx_10859,acc_406,merch_65,69.82,2025-06-01 08:32:00.000000,mobile_app,dev_406_0,98.175.96.18,0,0,acc_406,2023-12-30 21:30:19.668179,518,8,6,1,0,-1.0,1.0,69.82,69.82,1
tx_12407,acc_464,merch_22,478.44,2025-06-01 08:59:00.000000,internet,dev_464_0,2.233.27.239,0,0,acc_464,2023-10-20 21:53:35.262479,589,8,6,1,0,-1.0,1.0,478.44,478.44,0
tx_9913,acc_372,merch_8,167.98,2025-06-01 10:07:00.000000,UPI,dev_372_0,38.179.208.177,0,0,acc_372,2024-01-31 05:04:23.521404,487,10,6,1,0,-1.0,1.0,167.98,167.98,0
tx_2763,acc_103,merch_40,482.66,2025-06-01 10:23:00.000000,UPI,dev_103_1,201.243.168.129,0,0,acc_103,2024-12-22 20:30:28.357429,160,10,6,1,0,-1.0,1.0,482.66,482.66,1
tx_11461,acc_429,merch_52,154.85,2025-06-01 10:25:00.000000,mobile_app,dev_429_0,176.236.16.3,0,0,acc_429,2025-08-15 20:14:23.069882,-76,10,6,1,0,-1.0,1.0,154.85,154.85,0
tx_11272,acc_422,merch_58,216.01,2025-06-01 10:53:00.000000,mobile_app,dev_422_0,178.102.203.129,0,0,acc_422,2023-10-11 04:54:24.531895,599,10,6,1,0,-1.0,1.0,216.01,216.01,1
tx_8338,acc_313,merch_58,105.91,2025-06-01 11:00:00.000000,mobile_app,dev_313_0,93.105.201.161,0,0,acc_313,2024-11-20 20:16:45.913893,192,11,6,1,0,-1.0,1.0,105.91,105.91,0
tx_2595,acc_96,merch_67,153.39,2025-06-02 09:16:00.000000,mobile_app,dev_96_0,216.215.4.203,0,0,acc_96,2025-08-24 21:58:20.085255,-84,9,0,1,0,-1.0,1.0,153.39,153.39,0
tx_11852,acc_444,merch_72,245.74,2025-06-02 09:29:00.000000,mobile_app,dev_444_0,221.101.179.153,0,0,acc_444,2023-12-26 19:28:10.158629,523,9,0,1,0,-1.0,1.0,245.74,245.74,0
tx_5090,acc_192,merch_78,303.45,2025-06-02 09:36:00.000000,internet,dev_192_0,196.142.53.189,0,0,acc_192,2025-02-18 21:09:46.757518,103,9,0,1,0,-1.0,1.0,303.45,303.45,0
tx_7658,acc_287,merch_52,496.62,2025-06-02 10:57:00.000000,UPI,dev_287_0,28.132.43.204,0,0,acc_287,2025-08-31 17:44:12.922338,-91,10,0,1,0,-1.0,1.0,496.62,496.62,0
tx_710,acc_27,merch_24,170.81,2025-06-02 11:28:00.000000,mobile_app,dev_27_0,215.224.255.2,0,0,acc_27,2024-12-09 02:00:52.534032,175,11,0,1,0,-1.0,1.0,170.81,170.81,0
tx_10317,acc_386,merch_31,466.08,2025-06-03 07:49:00.000000,mobile_app,dev_386_0,90.218.160.24,0,0,acc_386,2024-10-31 23:26:24.297913,214,7,1,1,0,-1.0,1.0,466.08,466.08,1
tx_1807,acc_68,merch_29,368.23,2025-06-03 07:59:00.000000,mobile_app,dev_68_0,184.164.131.212,0,0,acc_68,2025-01-04 11:43:18.202536,149,7,1,1,0,-1.0,1.0,368.23,368.23,0
tx_8987,acc_338,merch_18,288.73,2025-06-03 08:04:00.000000,internet,dev_338_0,93.196.26.89,0,0,acc_338,2024-02-02 21:37:16.073364,486,8,1,1,0,-1.0,1.0,288.73,288.73,1
tx_10058,acc_377,merch_39,280.09,2025-06-03 08:24:00.000000,internet,dev_377_0,133.62.112.229,0,0,acc_377,2024-05-15 14:23:38.228224,383,8,1,1,0,-1.0,1.0,280.09,280.09,0
tx_12238,acc_457,merch_15,120.93,2025-06-03 08:25:00.000000,mobile_app,dev_457_0,115.105.229.175,0,0,acc_457,2024-10-15 22:45:10.841770,230,8,1,1,0,-1.0,1.0,120.93,120.93,1
tx_11169,acc_418,merch_51,444.65,2025-06-03 10:06:00.000000,mobile_app,dev_418_0,145.71.78.63,0,0,acc_418,2024-01-07 20:23:27.144425,512,10,1,1,0,-1.0,1.0,444.65,444.65,0
tx_2236,acc_83,merch_50,217.87,2025-06-03 11:56:00.000000,internet,dev_83_0,157.14.217.104,0,0,acc_83,2024-10-23 22:23:55.234951,222,11,1,1,0,-1.0,1.0,217.87,217.87,2
tx_12721,acc_476,merch_42,69.21,2025-06-04 08:48:00.000000,UPI,dev_476_0,133.63.14.151,0,0,acc_476,2024-08-25 05:42:52.127165,283,8,2,1,0,-1.0,1.0,69.21,69.21,0
